,RC1,RC3,RC7,RC4,RC8,RC6,RC2,RC9,RC5,RC10,RC11
0,animalito,cambridgir,congreso,rgpd,marketing,dalar,red,parlamentar,parar,communitymanager,mensaje
1,lottoactivo,analytico,error,proteccion,marketingdigital,gustar,social,europeo,ese,socialmediar,messenger
2,pronosticar,millÃ³n,zuckerberg,gdpr,analytic,seguidor,twitter,zuckerberg,unir,rrs,usuario
3,envivir,usuario,sentir,datar,publicidad,plataforma,instagram,mark,este,blog,enviar
4,programar,escandalo,mark,reglamentar,digital,sigueno,youtubar,preguntar,red,redessocial,millÃ³n
5,escuchar,datar,eeuu,privacidad,googlar,venir,facebook,comparecencia,crear,noticiar,eliminar
6,ganar,afectar,senado,protecciondedato,youtubar,abr,gt,perdon,senador,trabajar,borrar
7,perder,campanar,ee.uu,ley,whatsapp,digital,sigueno,responder,social,facebook,privar
8,aqui,cerrar,eu,ciberseguridad,instagram,travar,linkedin,sero,preguntar,whatsapp,informacion
9,datar,red,asumir,seguridad,estrategia,youtubar,redessocial,directo,gente,marketingdigital,facebook
10,gratis,britanico,testificar,empresa,rusia,ganar,web,comparecer,solo,parar,app
11,diario,social,responsabilidad,personal,socialmediar,diar,seguidor,social,trump,falso,permitir
12,,filtracion,culpar,derecho,venta,twitter,visitar,red,entender,campanar,datar
13,,accedio,comparecer,europeo,redessocial,redessocial,invitar,fundador,campanar,post,personar
14,,electoral,filtracion,proteger,negociar,instagram,venezolar,ar,zuckerberg,trump,aplicaciÃ³n
15,,trump,responsable,mayar,bigdatar,informacion,plataforma,filtracion,negociar,,seguridad
16,,firmar,fundador,parar,twitter,lottoactivo,encontrar,reglamentar,querer,,personal
17,,robar,abril,privacy,,abrir,servicio,disculpar,nadar,,admitir
18,,empresa,social,internet,,parar,,britanico,informacion,,privacidad
19,,informacion,unir,ar,,animalito,,vivir,fb,,X3
20,,personal,comparecencia,informacion,,X2,,respuesta,coser,,recopilar
21,,acceso,estadounidense,sobrar,,invitar,,ceo,pensar,,reconocer
22,,anunciar,testimoniar,bigdatar,,,,escandalo,politicar,,red
23,,compania,red,remover,,,,,bueno,,ciberseguridad
24,,mexicano,declarar,usuario,,,,,vida,,fallar
25,,investigar,audiencia,viar,,,,,empresa,,social
26,,polemico,markzuckerberg,,,,,,elecciÃ³n,,proteger
27,,facebook,disculpar,,,,,,modelar,,whatsapp
28,,utilizar,iniciar,,,,,,electoral,,
29,,obtener,fallar,,,,,,pagar,,
30,,elecciÃ³n,frente,,,,,,respuesta,,
31,,mexico,,,,,,,sistema,,
32,,fundador,,,,,,,ayudar,,
33,,partir,,,,,,,servicio,,
34,,,,,,,,,sobrar,,
35,,,,,,,,,utilizar,,
36,,,,,,,,,gobernar,,
37,,,,,,,rule,,,,
